generated_qwen3_4b_pdapt_slerp
"{""question1"": ""Quelle est la principale différence entre la sanction et l'indemnisation dans le cadre de la responsabilité des professionnels de santé?"", ""option_a1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation peut être obtenue par les établissements de santé."", ""option_b1"": ""La sanction est une mesure pénale, tandis que l'indemnisation est une mesure civile."", ""option_c1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation est réservée aux établissements de santé."", ""option_d1"": ""La sanction est une mesure disciplinaire, tandis que l'indemnisation est une mesure pénale."", ""correct_option1"": ""b"", ""question2"": ""Quel type de dommage peut être indemnisé en cas de défaut d'information?"", ""option_a2"": ""Une atteinte à l'intégrité physique uniquement."", ""option_b2"": ""Une perte de chance de survie ou de guérison."", ""option_c2"": ""Une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""option_d2"": ""Une perte de chance de survie ou de guérison et une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel type de responsabilité civile engagent les professionnels exerçant à titre libéral et les établissements de santé privés?"", ""option_a1"": ""Responsabilité civile devant les juridictions de l’ordre judiciaire"", ""option_b1"": ""Responsabilité civile devant les juridictions de l’ordre administratif"", ""option_c1"": ""Responsabilité civile devant les juridictions de l’ordre disciplinaire"", ""option_d1"": ""Responsabilité civile devant les juridictions de l’ordre pénal"", ""correct_option1"": ""a"", ""question2"": ""Quel est le régime de responsabilité des médecins salariés d’établissements, services ou organismes privés?"", ""option_a2"": ""Responsabilité civile personnelle"", ""option_b2"": ""Responsabilité civile collective"", ""option_c2"": ""Responsabilité civile du commettant"", ""option_d2"": ""Responsabilité civile du salarié"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la responsabilité engagée par un médecin hospitalier pour les actes qu'il réalise?"", ""option_a1"": ""La responsabilité civile personnelle du médecin"", ""option_b1"": ""La responsabilité pénale du médecin"", ""option_c1"": ""La responsabilité administrative de l'établissement public de santé"", ""option_d1"": ""La responsabilité disciplinaire du médecin"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la typologie des fautes susceptibles d'engager la responsabilité du service public selon la jurisprudence administrative?"", ""option_a2"": ""La faute de service et la faute personnelle"", ""option_b2"": ""La faute de service et la faute dans l'organisation du service"", ""option_c2"": ""La faute dans l'organisation du service et la faute personnelle"", ""option_d2"": ""La faute de service et la faute dans le fonctionnement du service"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la place de la radiographie thoracique dans le diagnostic d'une douleur thoracique aiguë?"", ""option_a1"": ""Elle est toujours inutile"", ""option_b1"": ""Elle est systématiquement réalisée"", ""option_c1"": ""Elle est réalisée uniquement en cas de suspicion de pneumopathie"", ""option_d1"": ""Elle est réalisée uniquement en cas de suspicion de pneumothorax"", ""correct_option1"": ""b"", ""question2"": ""Quelles anomalies peuvent être observées sur une radiographie thoracique dans le cadre d'une dissection aortique?"", ""option_a2"": ""Hyperclarté pulmonaire"", ""option_b2"": ""Ascension d'une coupole diaphragmatique"", ""option_c2"": ""Double contour aortique"", ""option_d2"": ""Atelectasies en bandes"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel examen biologique est essentiel pour diagnostiquer un infarctus du myocarde (SCA) et peut également s'élever dans le cadre d'une myocardite associée à une péricardite?"", ""option_a1"": ""Troponines ultrasensibles"", ""option_b1"": ""D-dimères"", ""option_c1"": ""CRP (protéine C réactive)"", ""option_d1"": ""Gaz du sang"", ""correct_option1"": ""a"", ""question2"": ""Quel examen biologique est utilisé pour éliminer un épisode de pneumopathie infectieuse (EP) en cas de suspicion faible ou modérée, et peut également éliminer une dissection aortique si normaux?"", ""option_a2"": ""Troponines ultrasensibles"", ""option_b2"": ""D-dimères"", ""option_c2"": ""CRP (protéine C réactive)"", ""option_d2"": ""Gaz du sang"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le délai maximal recommandé pour la mise en place de l'angioplastie primaire dans un SCA ST+?"", ""option_a1"": ""60 minutes"", ""option_b1"": ""90 minutes"", ""option_c1"": ""120 minutes"", ""option_d1"": ""180 minutes"", ""correct_option1"": ""c"", ""question2"": ""Dans quel cas une angioplastie primaire est-elle indiquée pour un SCA non ST+?"", ""option_a2"": ""Si la troponine est négative"", ""option_b2"": ""Si le patient est stable hémodynamiquement"", ""option_c2"": ""Si le patient présente des douleurs thoraciques persistantes"", ""option_d2"": ""Si le patient a une élévation de la troponine"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel examen est recommandé en première intention pour diagnostiquer une dissection aortique chez un patient instable hémodynamiquement?"", ""option_a1"": ""Echocardiographie trans-thoracique (ETT)"", ""option_b1"": ""Angioscanner thoracique"", ""option_c1"": ""Echocardiographie trans-oesophagienne (ETO)"", ""option_d1"": ""Radiographie thoracique"", ""correct_option1"": ""a"", ""question2"": ""Quel examen est le plus adapté pour le bilan d'extension pré-opératoire d'une dissection aortique chez un patient stabilisé?"", ""option_a2"": ""Echocardiographie trans-thoracique (ETT)"", ""option_b2"": ""Echocardiographie trans-oesophagienne (ETO)"", ""option_c2"": ""Angioscanner thoracique"", ""option_d2"": ""Radiographie thoracique"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale cause d'angor fonctionnel parmi les suivantes?"", ""option_a1"": ""Rétroflexion du rein gauche"", ""option_b1"": ""Rétroflexion du rein droit"", ""option_c1"": ""Rétroflexion du rein gauche"", ""option_d1"": ""Rétroflexion du rein droit"", ""correct_option1"": ""d"", ""question2"": ""Parmi les causes d'angor fonctionnel suivantes, laquelle est la plus fréquente?"", ""option_a2"": ""Rétroflexion du rein gauche"", ""option_b2"": ""Rétroflexion du rein droit"", ""option_c2"": ""Rétroflexion du rein gauche"", ""option_d2"": ""Rétroflexion du rein droit"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale cause de douleur thoracique aiguë en dehors des urgences cardio-vasculaires?"", ""option_a1"": ""Pneumonie"", ""option_b1"": ""Pneumothorax"", ""option_c1"": ""Épanchement pleural"", ""option_d1"": ""Douleurs pariétales musculo-squelettiques"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la cause la plus fréquente de pneumothorax spontané chez les adultes?"", ""option_a2"": ""Pneumopathie infectieuse"", ""option_b2"": ""Pneumothorax spontané"", ""option_c2"": ""Épanchement pleural"", ""option_d2"": ""Douleurs pariétales musculo-squelettiques"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la principale cause extra-thoracique de douleur thoracique?"", ""option_a1"": ""Pancréatite"", ""option_b1"": ""Cholécystite"", ""option_c1"": ""Ulcère gastro-duodénal"", ""option_d1"": ""RGO"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la cause extra-thoracique de douleur thoracique qui peut être associée à un spasme oesophagien?"", ""option_a2"": ""Pancréatite"", ""option_b2"": ""Cholécystite"", ""option_c2"": ""Ulcère gastro-duodénal"", ""option_d2"": ""RGO"", ""correct_option2"": ""d""}"
"{""question1"": ""Quelle est la définition de l'insuffisance mitrale (IM)?"", ""option_a1"": ""Dysfonctionnement de la valve mitrale avec défaut de fermeture systolique ayant pour conséquence une régurgitation de sang du ventricule gauche vers l'oreillette gauche en systole"", ""option_b1"": ""Dysfonctionnement de la valve aortique avec limitation d'ouverture ayant pour conséquence un obstacle à l'éjection systolique du ventricule gauche"", ""option_c1"": ""Dysfonctionnement de la valve aortique avec défaut de fermeture en diastole ayant pour conséquence une régurgitation de sang de l'aorte vers le ventricule gauche en diastole"", ""option_d1"": ""Dysfonctionnement de la valve mitrale avec limitation d'ouverture en diastole ayant pour conséquence un obstacle à l'écoulement du sang de l'oreillette gauche vers le ventricule gauche au moment du remplissage cardiaque"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la définition du rétrécissement aortique (RA)?"", ""option_a2"": ""Dysfonctionnement de la valve mitrale avec défaut de fermeture systolique ayant pour conséquence une régurgitation de sang du ventricule gauche vers l'oreillette gauche en systole"", ""option_b2"": ""Dysfonctionnement de la valve aortique avec limitation d'ouverture ayant pour conséquence un obstacle à l'éjection systolique du ventricule gauche"", ""option_c2"": ""Dysfonctionnement de la valve aortique avec défaut de fermeture en diastole ayant pour conséquence une régurgitation de sang de l'aorte vers le ventricule gauche en diastole"", ""option_d2"": ""Dysfonctionnement de la valve mitrale avec limitation d'ouverture en diastole ayant pour conséquence un obstacle à l'écoulement du sang de l'oreillette gauche vers le ventricule gauche au moment du remplissage cardiaque"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel type d'insuffisance mitrale est caractérisée par une fermeture des feuillets dépassant le plan de l'anneau?"", ""option_a1"": ""Type I"", ""option_b1"": ""Type II"", ""option_c1"": ""Type III"", ""option_d1"": ""Type IV"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la conséquence physiopathologique principale de l'insuffisance aortique aiguë?"", ""option_a2"": ""Dilatation du ventricule gauche"", ""option_b2"": ""Hypertrophie concentrique du ventricule gauche"", ""option_c2"": ""Augmentation brutale de la pré-charge et baisse du débit coronaire"", ""option_d2"": ""Fibrose et dysfonction du ventricule gauche"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale étiologie de l'insuffisance mitrale organique chez les sujets jeunes (<40 ans)?"", ""option_a1"": ""Dégénérative myxoïde"", ""option_b1"": ""Endocardite infectieuse"", ""option_c1"": ""Post-rhumatismale"", ""option_d1"": ""Ischémique"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la principale étiologie du rétrécissement aortique chez les sujets âgés (>60 ans)?"", ""option_a2"": ""Dégénératif (maladie de Monckeberg)"", ""option_b2"": ""Congénital (bicuspidie)"", ""option_c2"": ""Post-rhumatismale"", ""option_d2"": ""Ischémique"", ""correct_option2"": ""a""}"
"{""question1"": ""Quels sont les signes fonctionnels de l'insuffisance mitrale aiguë?"", ""option_a1"": ""Dyspnée aiguë et douleur thoracique brève"", ""option_b1"": ""Dyspnée progressive et galop protodiastolique"", ""option_c1"": ""Souffle holosystolique et éclat du B2"", ""option_d1"": ""Insuffisance cardiaque gauche et OAP"", ""correct_option1"": ""a"", ""question2"": ""Quels sont les signes fonctionnels de l'insuffisance aortique?"", ""option_a2"": ""Dyspnée et angor d'effort"", ""option_b2"": ""Dyspnée aiguë et galop protodiastolique"", ""option_c2"": ""Souffle méso-systolique et abolition du B2"", ""option_d2"": ""Insuffisance cardiaque gauche et OAP"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est l'interprétation correcte de l'ECG dans les valvulopathies chroniques sévères?"", ""option_a1"": ""L'ECG est toujours normal"", ""option_b1"": ""L'ECG montre une hypertrophie ventriculaire gauche"", ""option_c1"": ""L'ECG montre une fibrillation atriale"", ""option_d1"": ""L'ECG montre une BAV"", ""correct_option1"": ""c"", ""question2"": ""Quel est l'intérêt de l'épreuve d'effort dans les valvulopathies?"", ""option_a2"": ""Elle est toujours indiquée"", ""option_b2"": ""Elle est contre-indiquée dans les valvulopathies symptomatiques"", ""option_c2"": ""Elle est indiquée pour l'IA"", ""option_d2"": ""Elle est indiquée pour la RM"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est l'examen principal pour évaluer les valvulopathies?"", ""option_a1"": ""Radiographie thoracique"", ""option_b1"": ""Echographie cardiaque transthoracique"", ""option_c1"": ""Tomodensitométrie"", ""option_d1"": ""Angiographie"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la principale fonction de l'échographie cardiaque dans l'évaluation des valvulopathies?"", ""option_a2"": ""Diagnostic de la cause de la valvulopathie"", ""option_b2"": ""Diagnostic de la sévérité de la valvulopathie"", ""option_c2"": ""Diagnostic de la localisation de la valvulopathie"", ""option_d2"": ""Diagnostic de la durée de la valvulopathie"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la complication principale de l'insuffisance mitrale aiguë?"", ""option_a1"": ""Insuffisance cardiaque gauche"", ""option_b1"": ""Choc cardiogénique"", ""option_c1"": ""Endocardite"", ""option_d1"": ""Trouble de la conduction"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la complication principale du rétrécissement aortique asymptomatique?"", ""option_a2"": ""Insuffisance cardiaque"", ""option_b2"": ""Trouble de la conduction"", ""option_c2"": ""Mort subite"", ""option_d2"": ""Endocardite infectieuse"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel type de traitement est recommandé en première intention pour l'insuffisance mitrale avec prolapsus?"", ""option_a1"": ""Remplacement valvulaire mitral par prothèse mécanique"", ""option_b1"": ""Remplacement valvulaire mitral par prothèse biologique"", ""option_c1"": ""Plastie mitrale"", ""option_d1"": ""Commissurotomie chirurgicale"", ""correct_option1"": ""c"", ""question2"": ""Pour le rétrécissement aortique, quel type de prothèse est recommandé chez les patients âgés de plus de 65 ans?"", ""option_a2"": ""Prothèse mécanique"", ""option_b2"": ""Prothèse biologique"", ""option_c2"": ""Homogreffe"", ""option_d2"": ""Plastie aortique"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel dispositif est utilisé pour la réparation mitrale percutanée?"", ""option_a1"": ""Mitraclip"", ""option_b1"": ""Valvuloplastie aortique au ballon"", ""option_c1"": ""Commissurotomie percutanée"", ""option_d1"": ""TAVI"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la technique percutanée utilisée pour le rétrécissement aortique en cas d'intervention chirurgicale non cardiaque urgente?"", ""option_a2"": ""Valvuloplastie aortique au ballon"", ""option_b2"": ""Implantation d'une bioprothèse aortique par voie percutanée (TAVI)"", ""option_c2"": ""Commissurotomie percutanée"", ""option_d2"": ""Mitraclip"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelles sont les indications chirurgicales pour une insuffisance mitrale chronique sévère (grade 3/4)?"", ""option_a1"": ""IM aigue mal tolérée"", ""option_b1"": ""IM chronique sévère avec FEVG < 30%"", ""option_c1"": ""IM chronique sévère avec FEVG > 30% et retentissement VG"", ""option_d1"": ""IM chronique sévère avec FA"", ""correct_option1"": ""c"", ""question2"": ""Quelles sont les indications chirurgicales pour un rétrécissement aortique serré asymptomatique?"", ""option_a2"": ""RA serré avec épreuve d’effort positive"", ""option_b2"": ""RA serré avec FEVG < 50%"", ""option_c2"": ""RA serré avec Vmax > 5,5 m/s et évolution rapide"", ""option_d2"": ""RA serré avec HVG importante"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelles sont les principales indications du traitement percutané du rétrécissement aortique (RA)?"", ""option_a1"": ""Tous les patients avec RA, indépendamment de leur espérance de vie"", ""option_b1"": ""Patients avec RA et une espérance de vie > 1 an, en cas de contre-indication chirurgicale, à haut risque chirurgical ou à risque intermédiaire > 75 ans avec anatomie favorable"", ""option_c1"": ""Patients avec RA et une espérance de vie < 1 an"", ""option_d1"": ""Patients avec RA et une espérance de vie > 1 an, mais sans contre-indication chirurgicale"", ""correct_option1"": ""b"", ""question2"": ""Quelles sont les principales indications du traitement percutané de l'insuffisance mitrale (IM)?"", ""option_a2"": ""Tous les patients avec IM, indépendamment de leur espérance de vie"", ""option_b2"": ""Patients avec IM organique contre-indiqués à la chirurgie ou à haut risque chirurgical, et patients avec IM fonctionnelle en cas de persistance d'IC malgré l'optimisation du traitement médical"", ""option_c2"": ""Patients avec IM et une espérance de vie < 1 an"", ""option_d2"": ""Patients avec IM et une espérance de vie > 1 an, mais sans contre-indication chirurgicale"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel traitement est indiqué en cas d'IA sans indication chirurgicale?"", ""option_a1"": ""Traitement chirurgical immédiat"", ""option_b1"": ""Règles hygiéno-diététiques et traitement pharmacologique"", ""option_c1"": ""Traitement uniquement par bétabloquants"", ""option_d1"": ""Aucun traitement"", ""correct_option1"": ""b"", ""question2"": ""Dans le cas d'une maladie de Marfan associée à une IA, quel traitement est recommandé pour freiner la dilatation de l'aorte?"", ""option_a2"": ""Diurétiques"", ""option_b2"": ""Bétabloquants ou ARA 2 (Losartan)"", ""option_c2"": ""IEC/ARA 2"", ""option_d2"": ""Hygiène bucco-dentaire"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la prévalence de l'insuffisance cardiaque (IC) chez les adultes?"", ""option_a1"": ""1 et 2 %"", ""option_b1"": ""5 et 10 %"", ""option_c1"": ""10 et 15 %"", ""option_d1"": ""20 et 25 %"", ""correct_option1"": ""a"", ""question2"": ""Quel est l'âge moyen des patients atteints d'insuffisance cardiaque?"", ""option_a2"": ""50 ans"", ""option_b2"": ""60 ans"", ""option_c2"": ""70-80 ans"", ""option_d2"": ""90 ans"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la définition de l'insuffisance cardiaque (IC) selon un point de vue physiopathologique?"", ""option_a1"": ""Une incapacité du cœur à délivrer un débit suffisant aux besoins de l’organisme et/ou à fonctionner avec des pressions de remplissages normales."", ""option_b1"": ""Une incapacité du cœur à délivrer un débit insuffisant aux besoins de l’organisme et/ou à fonctionner avec des pressions de remplissages anormales."", ""option_c1"": ""Une incapacité du cœur à délivrer un débit suffisant aux besoins de l’organisme et/ou à fonctionner avec des pressions de remplissages anormales."", ""option_d1"": ""Une incapacité du cœur à délivrer un débit insuffisant aux besoins de l’organisme et/ou à fonctionner avec des pressions de remplissages normales."", ""correct_option1"": ""a"", ""question2"": ""Comment l'insuffisance cardiaque est-elle classée en fonction du niveau de fraction d'éjection ventriculaire gauche (FEVG)?"", ""option_a2"": ""FEVG ≤40% : insuffisance cardiaque systolique ; 41-49% : insuffisance cardiaque diastolique ; ≥50% : insuffisance cardiaque à fraction d'éjection réduite."", ""option_b2"": ""FEVG ≤40% : insuffisance cardiaque diastolique ; 41-49% : insuffisance cardiaque systolique ; ≥50% : insuffisance cardiaque à fraction d'éjection réduite."", ""option_c2"": ""FEVG ≤40% : insuffisance cardiaque à fraction d'éjection réduite ; 41-49% : insuffisance cardiaque systolique ; ≥50% : insuffisance cardiaque diastolique."", ""option_d2"": ""FEVG ≤40% : insuffisance cardiaque systolique ; 41-49% : insuffisance cardiaque à fraction d'éjection réduite ; ≥50% : insuffisance cardiaque diastolique."", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale caractéristique d'un œdème aigu pulmonaire (OAP) cardiogénique?"", ""option_a1"": ""Hypoxémie"", ""option_b1"": ""Hypocapnie"", ""option_c1"": ""Hypertension artérielle"", ""option_d1"": ""Hypotension artérielle"", ""correct_option1"": ""a"", ""question2"": ""Quel est le mécanisme compensatoire initial observé dans un OAP?"", ""option_a2"": ""Hyperventilation"", ""option_b2"": ""Hypoventilation"", ""option_c2"": ""Hypertension artérielle"", ""option_d2"": ""Hypotension artérielle"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la définition du choc cardiogénique selon le contenu éducatif?"", ""option_a1"": ""Défaillance aiguë et sévère de la fonction cardiaque entraînant une altération profonde de la perfusion périphérique et une anoxie tissulaire"", ""option_b1"": ""Baisse de la pression artérielle systolique inférieure à 90 mmHg"", ""option_c1"": ""Débit urinaire inférieur à 30 mL/h ou extrémités froides"", ""option_d1"": ""Index cardiaque supérieur à 2,2 l/min/m² avec une pression capillaire supérieure à 15 mmHg"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la première cause de choc cardiogénique selon le contenu éducatif?"", ""option_a2"": ""Insuffisance cardiaque chronique"", ""option_b2"": ""Hypertension artérielle"", ""option_c2"": ""Infarctus du myocarde"", ""option_d2"": ""Arrêt cardiaque"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le principal déterminant du volume d’éjection systolique (VES) dans l'insuffisance cardiaque gauche?"", ""option_a1"": ""La fréquence cardiaque"", ""option_b1"": ""La précharge ventriculaire"", ""option_c1"": ""La postcharge ventriculaire"", ""option_d1"": ""La fraction d'éjection"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la conséquence principale du remodelage ventriculaire dans l'insuffisance cardiaque?"", ""option_a2"": ""Une augmentation à long terme de l'inotropie"", ""option_b2"": ""Une amélioration de la fonction ventriculaire"", ""option_c2"": ""Une altération de la géométrie et de la fonction ventriculaire"", ""option_d2"": ""Une diminution de la compliance"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel type d'œdème est caractérisé par une augmentation de la perméabilité de la membrane alvéolo-capillaire?"", ""option_a1"": ""œdème lésionnel"", ""option_b1"": ""œdème cardiogénique"", ""option_c1"": ""œdème hydrostatique"", ""option_d1"": ""œdème lésionnel et cardiogénique"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la principale cause de l'œdème pulmonaire cardiogénique?"", ""option_a2"": ""altération de la membrane alvéolo-capillaire"", ""option_b2"": ""hyperpression capillaire pulmonaire"", ""option_c2"": ""diminution de la pression oncotique"", ""option_d2"": ""augmentation de la perméabilité de la membrane alvéolo-capillaire"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les principaux diagnostics différentiels de l'insuffisance cardiaque aiguë (OAP) cardiogénique?"", ""option_a1"": ""Pneumonie, exacerbation de BPCO, asthme"", ""option_b1"": ""SDRA, embolie pulmonaire, pneumopathie"", ""option_c1"": ""Tamponnade, épanchement pleural, pneumothorax"", ""option_d1"": ""Insuffisance respiratoire décompensée, pneumopathie aiguë"", ""correct_option1"": ""a"", ""question2"": ""Quels symptômes peuvent évoquer une cause non cardiogénique de l'insuffisance respiratoire aiguë?"", ""option_a2"": ""Toux, expectoration, fièvre"", ""option_b2"": ""Bruits respiratoires, anomalies auscultatoires, anomalies de percussion thoracique"", ""option_c2"": ""Anomalies de palpation, signes de phlébite, anomalies de percussion thoracique"", ""option_d2"": ""Fièvre, signes de phlébite, anomalies de palpation"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la valeur seuil de la fraction d'éjection du ventricule gauche (FEVG) pour définir une insuffisance cardiaque (IC) à FEVG diminuée?"", ""option_a1"": ""FEVG ≤ 30%"", ""option_b1"": ""FEVG ≤ 40%"", ""option_c1"": ""FEVG ≤ 50%"", ""option_d1"": ""FEVG ≤ 60%"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la valeur seuil de la fraction d'éjection du ventricule gauche (FEVG) pour définir une insuffisance cardiaque (IC) à FEVG conservée?"", ""option_a2"": ""FEVG ≥ 40%"", ""option_b2"": ""FEVG ≥ 50%"", ""option_c2"": ""FEVG ≥ 60%"", ""option_d2"": ""FEVG ≥ 70%"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le signe clinique le plus commun mais le moins spécifique de l'insuffisance cardiaque (IC)?"", ""option_a1"": ""La dyspnée à l'effort"", ""option_b1"": ""L'orthopnée"", ""option_c1"": ""La dyspnée paroxystique nocturne"", ""option_d1"": ""La tachycardie"", ""correct_option1"": ""a"", ""question2"": ""Quel est le signe clinique le plus spécifique de l'insuffisance cardiaque (IC)?"", ""option_a2"": ""La dyspnée à l'effort"", ""option_b2"": ""L'orthopnée"", ""option_c2"": ""La dyspnée paroxystique nocturne"", ""option_d2"": ""La tachycardie"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel examen biologique est essentiel pour confirmer le diagnostic d'insuffisance cardiaque et évaluer son degré de gravité?"", ""option_a1"": ""Natrémie"", ""option_b1"": ""Troponine"", ""option_c1"": ""BNP (Brain Natriuretic Peptide) ou NT-proBNP"", ""option_d1"": ""ECG"", ""correct_option1"": ""c"", ""question2"": ""Quel examen est considéré comme de référence pour évaluer la fonction cardiaque chez un patient présentant une insuffisance cardiaque?"", ""option_a2"": ""Coronarographie"", ""option_b2"": ""Scintigraphie osseuse"", ""option_c2"": ""Échocardiographie transthoracique (ETT)"", ""option_d2"": ""IRM cardiaque"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels examens complémentaires sont essentiels à réaliser en urgence dans l'insuffisance cardiaque aiguë (OAP) cardiogénique?"", ""option_a1"": ""ECG, GDS artériels, radiographie thoracique, bilan biologique, dosage des peptides natriurétiques, troponine, échocardiographie"", ""option_b1"": ""ECG, GDS artériels, radiographie thoracique, bilan biologique, dosage des peptides natriurétiques, troponine, échocardiographie, IRM cardiaque"", ""option_c1"": ""ECG, GDS artériels, radiographie thoracique, bilan biologique, dosage des peptides natriurétiques, troponine, échocardiographie, scanner thoracique"", ""option_d1"": ""ECG, GDS artériels, radiographie thoracique, bilan biologique, dosage des peptides natriurétiques, troponine, échocardiographie, échographie Doppler"", ""correct_option1"": ""a"", ""question2"": ""Quel est le bilan sanguin essentiel à réaliser en urgence dans l'insuffisance cardiaque aiguë (OAP) cardiogénique?"", ""option_a2"": ""Ionogramme sanguin (Na+, K+), urée, créatinine, NFS, bilan hépatique"", ""option_b2"": ""Ionogramme sanguin (Na+, K+), urée, créatinine, NFS, bilan hépatique, dosage des peptides natriurétiques"", ""option_c2"": ""Ionogramme sanguin (Na+, K+), urée, créatinine, NFS, bilan hépatique, dosage des peptides natriurétiques, troponine"", ""option_d2"": ""Ionogramme sanguin (Na+, K+), urée, créatinine, NFS, bilan hépatique, dosage des peptides natriurétiques, troponine, échocardiographie"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le principal facteur déterminant des valeurs de BNP et NT-proBNP?"", ""option_a1"": ""L'âge du patient"", ""option_b1"": ""Le sexe du patient"", ""option_c1"": ""La présence d'une insuffisance rénale"", ""option_d1"": ""La tension du tissu cardiaque"", ""correct_option1"": ""d"", ""question2"": ""Quelles sont les valeurs seuils de NT-proBNP pour un diagnostic probable d'insuffisance cardiaque chez un patient de 60 ans?"", ""option_a2"": ""450 pg/ml"", ""option_b2"": ""900 pg/ml"", ""option_c2"": ""1 800 pg/ml"", ""option_d2"": ""300 pg/ml"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les principaux objectifs de l'échocardiographie transthoracique dans le diagnostic et l'évaluation de l'insuffisance cardiaque (IC)?"", ""option_a1"": ""Mesurer uniquement la fonction ventriculaire gauche"", ""option_b1"": ""Diagnostiquer l'IC, définir le type d'IC, préciser le mécanisme de l'IC, rechercher une étiologie, mesurer les pressions de remplissage, réaliser une surveillance et évaluer l'évolution, ajuster le traitement"", ""option_c1"": ""Évaluer uniquement les valvulopathies"", ""option_d1"": ""Mesurer uniquement les pressions de remplissage"", ""correct_option1"": ""b"", ""question2"": ""Quels paramètres sont mesurés par l'échocardiographie transthoracique pour évaluer l'insuffisance cardiaque?"", ""option_a2"": ""Géométrie et fonction segmentaire et globale du ventricule gauche, mesure de la valeur de la FEVG, recherche de valvulopathies, évaluation de la géométrie et de la fonction du ventricule droit, évaluation hémodynamique, évaluation du péricarde"", ""option_b2"": ""Mesure du diamètre ventriculaire, épaisseur pariétale, surface atriale gauche, flux transmitral, flux d'insuffisance tricuspide"", ""option_c2"": ""Mesure de la pression artérielle pulmonaire systolique, évaluation des pressions de remplissage ventriculaire gauche, évaluation des pressions de remplissage ventriculaire droite"", ""option_d2"": ""Évaluation de la relaxation, évaluation des pressions de remplissage ventriculaire gauche, évaluation des pressions pulmonaires"", ""correct_option2"": ""a""}"
"{""question1"": ""Quels sont les signes radiologiques de la stase pulmonaire dans un OAP d'origine hémodynamique?"", ""option_a1"": ""Opacités alvéolaires de distribution périhilaire"", ""option_b1"": ""Lignes B de Kerley uniquement"", ""option_c1"": ""Redistribution vasculaire de la base vers les sommets"", ""option_d1"": ""Épanchements pleuraux unilatéraux uniquement"", ""correct_option1"": ""c"", ""question2"": ""Quel est le signe radiologique le plus spécifique de l'œdème interstitiel dans un OAP d'origine hémodynamique?"", ""option_a2"": ""Opacités alvéolaires floconneuses"", ""option_b2"": ""Lignes B de Kerley"", ""option_c2"": ""Redistribution vasculaire des bases vers les sommets"", ""option_d2"": ""Épanchements pleuraux bilatéraux"", ""correct_option2"": ""b""}"
