,id,question,option_a,option_b,option_c,option_d,correct_option
1997,OIC-263-02-A,Quelles sont les caractéristiques biologiques du syndrome de microangiopathie thrombotique (MAT)?,"Anémie hémolytique, thrombopénie, dysfonction rénale","Anémie hémolytique, thrombopénie, dysfonction hépatique","Anémie hémolytique, thrombopénie, dysfonction d'organe","Anémie hémolytique, thrombopénie, dysfonction cardiaque",c
1998,OIC-263-02-A-,Quelle est la lésion histologique associée au syndrome de microangiopathie thrombotique (MAT)?,Lésion de macroangiopathie thrombotique,Lésion de microangiopathie thrombotique,Lésion de microangiopathie fibrinolytique,Lésion de macroangiopathie fibrinolytique,b
1999,OIC-263-03-B,Quelle est la cause principale du syndrome de microangiopathie thrombotique (MAT) post-diarrhéique?,Infection par le VIH,Infection par des entérobactéries productrices de Shiga-like toxins,Mutation du gène de la thrombomoduline,Cancer,b
2000,OIC-263-03-B-,Quelle est la cause principale du purpura thrombotique thrombocytopénique (PTT)?,Infection par le VIH,Auto-anticorps anti-ADAMTS13,Mutation du gène de la thrombomoduline,Cancer,b
2001,OIC-263-04-B,Quel est le principal contexte dans lequel se développe le SHU typique chez l'enfant?,Après une infection virale,Après une diarrhée sanglante à entérobactérie sécrétrice de Shigatoxine,Après une intervention chirurgicale,Après une prise de médicaments,b
2002,OIC-263-04-B-,Quel est le tableau clinique typique du SHU?,Insuffisance rénale aiguë sans syndrome de MAT,Insuffisance rénale aiguë associée à un syndrome de MAT,Insuffisance rénale chronique sans syndrome de MAT,Insuffisance rénale aiguë avec hypertension artérielle,b
2003,OIC-263-05-B,"Quel est le diagnostic associé à une insuffisance rénale aiguë, une anémie hémolytique et une thrombopénie suite à une contamination alimentaire responsable de diarrhée sanglante?",Syndrome de Goodpasture,Syndrome de HUS typique,Syndrome de Berger,Syndrome de FSGS,b
2004,OIC-263-05-B-,Le SHU atypique survient plus volontiers chez qui et est souvent lié à quoi?,"Enfants, anomalie de la voie alterne du complément","Adultes, anomalie de la voie alterne du complément","Enfants, anomalie de la voie classique du complément","Adultes, anomalie de la voie classique du complément",b
2005,OIC-263-06-A,Quel est le type de sténose de l'artère rénale le plus fréquent chez les hommes âgés de plus de 45 ans?,Fibrodysplasie de la media,Sténose athéromateuse,Sténose bilatérale,Sténose distale,b
2006,OIC-263-06-A-,Quel est le type de sténose de l'artère rénale qui présente un risque de thrombose élevé?,Fibrodysplasie de la media,Sténose athéromateuse,Sténose bilatérale,Sténose distale,b
2007,OIC-263-07-B,Quelles sont les deux principales causes de sténose de l'artère rénale?,Athéromateuse et fibrodysplasique,Fibrodysplasique et vasculaire,Vasculaire et athéromateuse,Athéromateuse et vasculaire,a
2008,OIC-263-08-B,Quel examen est le plus utile pour évaluer la présence et le pourcentage de sténose d'une artère rénale?,Échographie rénale,Doppler des artères rénales,Tomodensitométrie spiralée,Angio-IRM,b
2009,OIC-263-08-B-,"Quel examen permet une visualisation directe des artères rénales et des calcifications, mais nécessite une forte quantité de produits de contraste iodés?",Échographie rénale,Doppler des artères rénales,Tomodensitométrie spiralée,Angio-IRM,c
2010,OIC-263-09-A,Quelle est la cause principale de l'infarctus rénal?,Dissection de l'artère rénale,Embolie artérielle,Thrombophilie,Anomalie de la paroi vasculaire,b
2011,OIC-263-09-A-,Quelle est la caractéristique principale de la maladie des emboles de cristaux de cholestérol?,Obstruction des artérioles et capillaires par des cristaux de cholestérol,Rupture d'une plaque d'athérome,Signes cutanés,HTA ancienne et insuffisamment contrôlée,a
2012,OIC-263-10-B,Quel est le premier signe clinique de l'infarctus rénal?,Hématurie macroscopique,Douleur abdominale,Syndrome inflammatoire,Anurie,b
2013,OIC-263-10-B-,Quel examen permet de confirmer le diagnostic d'infarctus rénal?,Biopsie rénale,Angio-IRM,Artériographie,Échographie,c
2014,OIC-265-01-A,Quelle est la conséquence principale de la lithiase urinaire?,Infection urinaire,Formation de calculs dans la voie urinaire excrétrice,Hypertrophie bénigne de la prostate,Stase des urines dans la vessie,b
2015,OIC-265-01-A-,Où se forment la majorité des calculs urinaires?,Dans la vessie,Dans les reins,Dans la prostate,Dans les uretères,b
2016,OIC-265-02-B,Quelle est l'incidence des lithiases urinaires dans le monde?,1% à 5%,5% à 10%,10% à 20%,20% à 30%,c
2017,OIC-265-02-B-,Quel est le sex ratio des lithiases urinaires?,1 homme pour 1 femme,1 homme pour 2 femmes,2 hommes pour 1 femme,3 hommes pour 1 femme,c
2018,OIC-265-03-B,Quel est le type de calcul le plus fréquent dans les lithiases urinaires?,Phosphate de calcium,Oxalate de calcium,Phosphate ammoniaco-magnésien,Cystine,b
2019,OIC-265-03-B-,Quel type de calcul est associé à un pH urinaire acide?,Phosphate de calcium,Oxalate de calcium,Acide urique,Cystine,c
2020,OIC-265-04-B,Quel est le principal facteur alimentaire favorisant l'hypercalciurie?,Produits laitiers,Protéines animales,Le sel - NaCl,Aliments riches en oxalate,c
2021,OIC-265-04-B-,Quelle maladie génétique est la plus fréquente parmi les facteurs familiaux de la lithiase urinaire?,Cystinurie,Syndrome de la jonction pyelo-ureterale,Diverticule caliciel,Rein en fer à cheval,a
2022,OIC-265-07-A,Quels sont les symptômes principaux de la colique néphrétique simple?,"Fièvre, frisson, insuffisance rénale","Douleur, irradiations, nausées","Fièvre, insuffisance rénale, oligo-anurie","Douleur, fièvre, insuffisance rénale",b
2023,OIC-265-07-A-,Quel est le traitement de première intention pour la colique néphrétique simple?,Antibiotiques,Antalgiques par AINS,Diurétiques,Antispasmodiques,b
2024,OIC-265-08-A,Quelle est la principale complication de la colique néphrétique chez la femme enceinte?,Accouchement prématuré,Douleur intense,Insuffisance rénale aiguë,Pyélonéphrite aiguë,a
2025,OIC-265-08-A-,Quel est le traitement de première intention pour une colique néphrétique fébrile?,Antibiotiques,Morphine,Paracétamol,Echographie,a
2026,OIC-265-09-B,"Quel est le symptôme le plus fréquemment associé à un calcul urinaire, autre que la colique néphrétique?",Insuffisance rénale,Hématurie,Infection urinaire,Douleur abdominale,b
2027,OIC-265-09-B-,Quel type de calcul urinaire est souvent associé à une insuffisance rénale chronique?,Calculs coralliformes,Calculs oxaliques,Calculs uriques,Calculs phosphatiques,a
2028,OIC-265-11-A,Quel est l'examen biologique de base à réaliser en urgence devant une colique néphrétique?,Bandelette urinaire,Examen cytobactériologique des urines,Hémocultures,Dosage de la créatinine sérique,a
2029,OIC-265-11-A-,Quel examen biologique permet d'évaluer la fonction rénale en urgence devant une colique néphrétique?,Bandelette urinaire,Examen cytobactériologique des urines,Dosage de la créatinine sérique,Hémocultures,c
2030,OIC-265-12-B,Quel est l'objectif principal du bilan métabolique de première intention recommandé par le Comité de Lithiase de l’Association Française d’Urologie?,Déterminer la composition moléculaire et cristalline du calcul,Évaluer la fonction rénale,Mesurer la pression artérielle,Évaluer la densité osseuse,a
2031,OIC-265-12-B-,Quel type d'analyse est réalisé sur un échantillon d'urines fraiches du matin dans le bilan métabolique de première intention?,"Analyse de la cristallurie, pH, densité, BU",Analyse de la glycémie à jeun,Analyse de la densité osseuse,Analyse de la pression artérielle,a
2032,OIC-265-13-B,Quelle est l'anomalie métabolique associée à des lithiases calciques?,Hyperparathyroidie,Hypocalciurie,Hypoxalurie,Alcalose tubulaire rénale,a
2033,OIC-265-14-A,Quelle est l'indication principale de la thérapie médicale expulsive (TME) dans la prise en charge de la lithiase urinaire?,Calcul de l'uretère proximal > 10 mm,Douleur calmée par antalgiques standards et absence de signe infectieux,Fièvre et hyperalgie,Insuffisance rénale aiguë,b
2034,OIC-267-01-A,Quelle est l'indication principale de la gazométrie artérielle dans un contexte clinique?,Évaluation de la fonction rénale,Diagnostic d'une insuffisance respiratoire aiguë,Mesure de la pression artérielle,Évaluation de la glycémie,b
2035,OIC-267-01-A-,Dans quel cas la gazométrie veineuse est-elle particulièrement utile?,En cas de suspicion d'insuffisance rénale aiguë,En cas de suspicion d'acido-cétose,En cas de dyspnée chronique,En cas de choc hémorragique,b
2036,OIC-267-02-B,Quel est le principal système tampon acido-basique chez l'homme?,Le couple acide carbonique/bicarbonate,Le couple acide lactique/bicarbonate,Le couple acide sulfurique/bicarbonate,Le couple acide phosphorique/bicarbonate,a
2037,OIC-267-02-B-,Quel type d'acidose est causé par un défaut d'élimination du CO2 par la ventilation?,Acidose métabolique,Acidose respiratoire,Alcalose respiratoire,Alcalose métabolique,b
2038,OIC-267-03-A,Quel est le pH normal d'un sang artériel?,"7,20","7,38 - 7,42","7,50","7,60",b
2039,OIC-267-03-A-,Quel est le principal indicateur d'une acidose métabolique?,Augmentation de la PCO2,Diminution de la PCO2,Diminution de la bicarbonatémie,Augmentation de la bicarbonatémie,c
2040,OIC-267-04-A,Quel est le seuil de pH considéré comme une urgence vitale dans les troubles de l'équilibre acido-basique?,"7,00","7,10","7,20","7,30",b
2041,OIC-267-05-A-,Dans quel contexte une acidose métabolique est-elle accompagnée d’un trou anionique plasmatique élevé?,Insuffisance rénale sévère,Perte digestive de bicarbonate,Acidose lactique,Acidocétose diabétique,c
2042,OIC-267-06-B,Quelle est la principale forme d’élimination rénale des protons en excès?,Acide urique,Ammonium (NH4+),Bicarbonate (HCO3-),Chlorure (Cl-),b
2043,OIC-267-06-B-,Quelle est la signification d'un trou anionique urinaire (TAU) négatif en situation d'acidose métabolique hyperchlorémique?,Origine extrarénale de l'acidose,Origine tubulaire rénale,Réponse rénale inadaptée,Réponse rénale adaptée,a
2044,OIC-267-07-A,Quelle est la principale cause d'acidose respiratoire non pulmonaire?,Infection pulmonaire,Traumatisme crânien,Emphysème pulmonaire,Pneumopathie inflammatoire,b
2045,OIC-267-07-A-,Quelle est une étiologie de dysfonction des centres respiratoires?,Endartériectomie carotidienne bilatérale,Sclérose en plaques,Botulisme,Myopathie,b
2046,OIC-267-08-B,Quel est l'objectif principal de la correction d'une acidose métabolique chronique chez un patient avec insuffisance rénale chronique?,Augmenter la pression artérielle,Prévenir la fonte musculaire et la déminéralisation osseuse,Diminuer la fréquence cardiaque,Améliorer la vision,b
2047,OIC-267-08-B-,Quelle est la dose recommandée de bicarbonate de sodium pour maintenir le taux de bicarbonates plasmatiques > 22 mmol/L chez un patient avec insuffisance rénale chronique?,1 à 6 g par jour en gélules,10 à 20 g par jour en gélules,5 à 10 g par jour en gélules,2 à 4 g par jour en gélules,a
2048,OIC-267-09-B,Quel est le traitement principal pour corriger un bas débit respiratoire dans les troubles acido-basiques aigus sévères?,Alcalinisation par bicarbonate de sodium,Ventilation artificielle,Insuline et réhydratation,Épuration extrarénale,b
2049,OIC-267-09-B-,Dans quel cas l'alcalinisation par bicarbonate de sodium est-elle indispensable?,Acidose lactique,Acidocétose,Acidose hyperchlorémique ou associée à certaines intoxications,Surcharge hydro-sodée et/ou hypokaliémie et/ou hypocalcémie,c
2050,OIC-267-10-B,Quel est le principal cation des liquides intracellulaires?,Sodium,Potassium,Calcium,Magnésium,b
2051,OIC-267-10-B-,Quel organe est principalement responsable de la régulation externe de la kaliémie?,Foie,Rein,Surrénale,Tube digestif,b
2052,OIC-267-11-A,Quelle est la définition de l'hyperkaliémie?,"Concentration plasmatique du potassium inférieure à 3,5 mmol/L","Concentration plasmatique du potassium supérieure à 5,0 mmol/L","Concentration plasmatique du potassium entre 3,5 et 5,0 mmol/L","Concentration plasmatique du potassium supérieure à 7,0 mmol/L",b
2053,OIC-267-13-A,Quelle est la première modification électrocardiographique observée lors d'une hyperkaliémie?,Augmentation de l'amplitude des ondes T,Disparition de l'onde P,Élargissement des complexes QRS,Bradycardie à QRS large,a
2054,OIC-267-13-A-,Quelle anomalie de conduction auriculo-ventriculaire peut survenir lors d'une hyperkaliémie?,Blocs sino-auriculaires,Blocs auriculo-ventriculaires,Arythmies ventriculaires,Tachycardie ventriculaire,b
2055,OIC-267-14-A-,Quelle est une cause fréquente d'hyperkaliémie liée à un excès d'apport?,Insuffisance rénale,Acidose métabolique,Apport en chlorure de potassium PO,Rhabdomyolyse,c
2056,OIC-267-15-A,Quel est le premier traitement à administrer en cas d'hyperkaliémie sévère avec signes de gravité?,Sels de Calcium IV,Insuline-Glucose,Arrêt des médicaments hyperkaliémiants,Transfert du K vers le compartiment intracellulaire,a
2057,OIC-267-15-A-,Quel est le traitement pour transférer le potassium vers le compartiment intracellulaire?,Sels de Calcium IV,Insuline-Glucose,Arrêt des médicaments hyperkaliémiants,Transfert du K vers le compartiment intracellulaire,b
2058,OIC-267-16-B,Quel est le traitement de choix en cas d'hyperkaliémie sévère avec insuffisance rénale sévère?,Agents β-adrénergiques,Alcalinisation modérée,Épuration extrarénale par hémodialyse,Diurétiques de l'anse,c
2059,OIC-267-17-A-,Quel médicament est efficacement utilisé pour traiter l'hyperkaliémie avec hypoaldostéronisme?,Bicarbonate de sodium,Sulfonate de polystyrène sodique,9α-fluorohydrocortisone,Diurétiques de l'anse,c
2060,OIC-267-18-A,Quelle est la définition de l'hypokaliémie?,"Concentration plasmatique de potassium supérieure à 3,5 mmol/L","Concentration plasmatique de potassium inférieure à 3,5 mmol/L","Concentration plasmatique de potassium égale à 3,5 mmol/L","Concentration plasmatique de potassium inférieure à 4,5 mmol/L",b
2061,OIC-267-18-A-,Quelle est une indication de prescription d'une kaliémie?,Bilan initial d'une HTA,Troubles musculaires aigus ou chroniques,Syndrome polyuro-polydipsique,Perte de connaissance,b
2062,OIC-267-19-A-,Quel est le signe digestif le plus fréquent de l'hypokaliémie?,Une constipation,Un iléus paralytique,Un retard à la reprise du transit post-opératoire,Une polyurie,a
2063,OIC-267-20-A-,Quel facteur favorise la survenue d'arythmie dans le contexte d'hypokaliémie chronique?,Hypertrophie ventriculaire gauche,Hypercalcémie,Hypomagnésémie,Tachycardie sinusale,c
2064,OIC-267-21-A,Quelle est la principale cause d'hypokaliémie avec pertes extra-rénales?,Diarrhées,Insuline,Hyperaldostéronisme,Vomissements abondants,a
2065,OIC-267-21-A-,Quelle est la principale cause d'hypokaliémie avec pertes rénales et HTA?,Diarrhées,Insuline,Hyperaldostéronisme,Vomissements abondants,c
2066,OIC-267-22-A,Quel est le seuil de kaliémie à rétablir en cas d'hypokaliémie sévère?,2 mmol/L,3 mmol/L,4 mmol/L,5 mmol/L,b
2067,OIC-267-22-A-,Quel est le risque associé à l'administration de glucose à la phase initiale de correction des hypokaliémies sévères?,Amélioration rapide de la kaliémie,Aggravation initiale par une sécrétion d'insuline,Diminution de la pression artérielle,Augmentation de la fréquence cardiaque,b
2068,OIC-267-23-A-,Quelle est la conséquence d'une hyponatrémie associée à une hypo-osmolalité plasmatique?,Hyperhydratation extracellulaire,Hyperhydratation intracellulaire,Hyponatrémie pure,Hyperosmolalité plasmatique,b
2069,OIC-267-24-B,Quelle est la principale cause d'hyponatrémie dans le contexte d'une potomanie?,Insuffisance rénale chronique,Sécrétion inappropriée d'ADH,Apport hydrique excessif,Déshydratation extracellulaire,c
2070,OIC-267-25-A-,Quelle est la valeur de l'hyponatrémie sévère?,120 mmol/L,130 mmol/L,125 mmol/L,135 mmol/L,a
2071,OIC-267-26-A,Quelle est la première étape dans la démarche diagnostique d'une hyponatrémie hypotonique?,Mesure de l'osmolalité urinaire,Évaluation du volume extracellulaire,Élimination des hyponatrémies non hypo-osmotiques,Identification des causes du SIADH,c
2072,OIC-267-26-A-,Quel est un critère diagnostique du SIADH?,Uosm > 100 mOsm/kg,UNa > 30 mmol/L,Posm < 275 mOsm/kg,Uricémie < 240 μmol/L,c
2073,OIC-267-27-A,Quel est le principal traitement recommandé pour une hyponatrémie chronique asymptomatique?,Apport d'urée per os,Restriction hydrique,Apport de NaCl hypertonique,Tolvaptan,b
2074,OIC-267-28-A,Quel est le principal risque associé à la correction rapide des hyponatrémies chroniques?,Hypokaliémie,Myélinolyse centro-pontine,Hypernatrémie,Insuffisance rénale,b
2075,OIC-267-28-A-,À quelle vitesse la correction de l'hyponatrémie doit-elle être effectuée pour éviter ce risque?,Moins de 10 mmol/L/24h,Entre 10 et 20 mmol/L/24h,Plus de 10 mmol/L/24h,Pas de limite,a
2076,OIC-267-29-A,Quelle est la définition de l'hypernatrémie?,Une concentration de sodium inférieure à 135 mmol/L,Une concentration de sodium supérieure à 145 mmol/L,Une concentration de sodium entre 135 et 145 mmol/L,Une concentration de sodium supérieure à 150 mmol/L,b
2077,OIC-267-29-A-,Quel est le signe clinique associé à l'hypernatrémie?,Augmentation de la pression artérielle,Troubles neurologiques,Diminution de la fréquence cardiaque,Augmentation de la température corporelle,b
2078,OIC-267-30-B,Quel est le principal mécanisme physiologique qui régule l'équilibre hydrique dans l'organisme?,La sécrétion d'insuline,La sécrétion d'ADH,La sécrétion de cortisol,La sécrétion de thyroxine,b
2079,OIC-267-31-A-,Quel est le signe neurologique le plus grave associé à l'hypernatrémie?,Somnolence,Crise convulsive,Coma,Hémorragies cérébro-méningées,c
2080,OIC-267-32-A-,Dans quel cas l'hypernatrémie apparaît-elle chez un patient avec diabète insipide?,En cas de polydipsie,En cas de polyurie,Lorsqu'il a un accès réduit à l'eau,En cas de réponse rénale normale,c
2081,OIC-267-34-A,Quel est le seuil de calcémie totale définissant l'hypocalcémie?,"1,80 mmol/L","2,20 mmol/L","2,50 mmol/L","3,00 mmol/L",b
2082,OIC-267-36-A-,Quel est le signe clinique provoqué par la stimulation du nerf facial associé à l'hypocalcémie?,Paresthésies distales,Crampes musculaires,Signe de Chvostek,Convulsions,c
2083,OIC-267-37-B,Quel est l'effet principal de l'hypocalcémie sur l'ECG?,Diminution de la fréquence cardiaque,Élargissement de l'intervalle QT,Augmentation de la pression artérielle,Diminution de la saturation en oxygène,b
2084,OIC-267-37-B-,Quel risque majeur peut être associé à l'hypocalcémie selon l'ECG?,Insuffisance rénale,Troubles du rythme cardiaque,Hypertension artérielle,Diabète,b
2085,OIC-267-38-A,Quel est l'examen biologique principal pour évaluer le calcium dans le sang?,Calcium total,Calcium ionisé,Albuminémie,Phosphate sérique,a
2086,OIC-267-38-A-,Quel est l'examen biologique qui permet de mesurer la parathormone (PTH) dans le sang?,PTH plasmatique,Vitamine D,Calcitriolémie,Calciurie des 24H,a
2087,OIC-267-39-A,Quelle est la première étape à vérifier avant de diagnostiquer une hypocalcémie?,Vérifier la calcémie totale,Vérifier la calcémie ionisée,Vérifier que le prélèvement n'a pas été effectué sur tube citraté,Vérifier la PTH,c
2088,OIC-267-40-A,Quel est le traitement de première intention pour une hypocalcémie légère chez un patient sans insuffisance rénale chronique?,Calcium parentéral,Glucagon,Carbonate de calcium per os,Vitamine D hydroxylée en position 1,c
2089,OIC-270-01-A,Quelle est la première étape à réaliser lors de l'interrogatoire d'un patient présentant une douleur lombaire aiguë?,Rechercher des antécédents néoplasiques,Évaluer l'intensité de la douleur,Identifier les circonstances de survenue de la douleur,Palper la région lombaire,c
2090,OIC-270-01-A-,Quel examen clinique est essentiel pour éliminer une radiculalgie ou une atteinte de la queue de cheval?,Examen de la statique rachidienne,Palpation des points douloureux à la région lombaire,Examen neurologique,Inspection de la fosse lombaire,c
2091,OIC-270-02-A,Quelle est la principale caractéristique des lombalgies communes d'origine dégénérative discovertébrales?,Présence de signes neurologiques,Facteur déclenchant traumatique,Absence de signes de gravité,Fièvre,c
2092,OIC-270-02-A-,Quelle étiologie est associée à des douleurs référées lombaires?,Compression médullaire tumorale,Infection,Problèmes urologiques,Arthrose,c
2093,OIC-270-04-A,Quel est le signe clinique principal de la colique néphrétique?,Douleur lombaire unilatérale de début brutal,Douleur à la palpation du rachis,Fièvre,Pollakiurie,a
2094,OIC-270-04-A-,Quel examen complémentaire est le plus sensible pour diagnostiquer une colique néphrétique?,Échographie,Tomodensitométrie abdomino-pelvienne sans injection de contraste,Bandeslettes urinaires,NFS,b
2095,OIC-270-05-A,Quel examen d'imagerie est recommandé en premier lieu devant une douleur lombaire aiguë avec des signes de gravité?,Radiographie standard,IRM,Scanner thoraco-abdomino-pelvien,Échographie abdominale et pelvienne,b
2096,OIC-270-06-A,Quel bilan biologique est nécessaire en cas de lombalgie aiguë suspectée d'être secondaire?,"NFS, créatininémie, ionogramme sanguin, CRP, calcémie","Hémocultures, ECBU, gazométrie artérielle, groupe sanguin, enzymes cardiaques (troponine), D-dimères, bilan inflammatoire, protéinurie, test de grossesse",ECG,"EMG, ponction lombaire",a
2097,OIC-270-06-A-,"En cas d'orientation neurologique, quel examen complémentaire peut être demandé?","NFS, créatininémie, ionogramme sanguin, CRP, calcémie","Hémocultures, ECBU, gazométrie artérielle, groupe sanguin, enzymes cardiaques (troponine), D-dimères, bilan inflammatoire, protéinurie, test de grossesse","EMG, ponction lombaire",ECG,c
2098,OIC-270-07-B,Quel facteur de risque est associé à la chronicisation des douleurs lombaires aiguës?,Dépression,Travail sédentaire,Fausses croyances quant à l'évolution,Conflit familial,c
2099,OIC-283-03-B-,Quel est le mécanisme principal de la constipation fonctionnelle après 6 mois chez l'enfant?,Défaut d'apport hydrique ou en fibres,Régime lacto farineux exclusif,Rétention des selles de manière répétée dans l'ampoule rectale,Absence de contraction colique,c
2100,OIC-283-04-B,"Quel examen est recommandé en premier lieu chez un constipé chronique qui consulte pour la première fois, en l'absence de signe d'alarme?",Coloscopie,Examens biologiques,Temps de transit colique aux marqueurs radio-opaques,Aucun examen complémentaire systématique,d
2101,OIC-283-04-B-,Dans quelles situations la coloscopie avec anesthésie générale est-elle recommandée pour un patient constipé chronique?,Si les symptômes sont apparus ou s’aggravent après 50 ans,En cas de signes d'alarme,Dans les situations recommandées dans le cadre du dépistage systématique du cancer du côlon dans la population générale,Toutes les réponses ci-dessus,d
2102,OIC-283-05-A,Quel est l'objectif principal de l'interrogatoire dans le diagnostic de constipation chez l'enfant et l'adulte?,Rechercher des facteurs favorisants,Confirmer le diagnostic de constipation et son caractère chronique,Appréhender le mécanisme de la constipation : de transit ou distale,Rechercher des signes d'alarme en faveur d'un cancer colorectal,b
2103,OIC-283-05-A-,Quel est l'élément clé de l'examen proctologique dans le cadre d'une constipation?,"Recherche de lésions locales (hémorroïdes, fissure…)",S'assurer de l'absence de lésion anale ou rectale,Rechercher la présence anormale de matières dans l'ampoule rectale (fécalome),Évaluer le tonus sphinctérien anal,c
2104,OIC-283-06-B,Quelle est la principale différence entre une constipation de transit et une constipation distale?,"La constipation de transit est liée à une réduction de la fréquence des selles, tandis que la constipation distale est liée à des efforts de poussée exagérés.","La constipation de transit est liée à une réduction de la fréquence des selles, tandis que la constipation distale est liée à une sensation d'évacuation incomplète.","La constipation de transit est liée à une réduction de la fréquence des selles, tandis que la constipation distale est liée à une constipation idiopathique.","La constipation de transit est liée à une réduction de la fréquence des selles, tandis que la constipation distale est liée à une constipation secondaire.",b
2105,OIC-283-06-B-,Quel est le signe d'alarme qui doit faire rechercher une cause organique de constipation?,Des efforts de poussée exagérés,Une sensation d'évacuation incomplète,Des rectorragies ou un méléna,Une constipation idiopathique,c
2106,OIC-283-07-A,Quel est le principal traitement recommandé pour la constipation chez l'adulte?,Augmentation des apports hydriques,Régime enrichi en fibres,Utilisation de laxatifs irritants,Chirurgie colectomie,b
2107,OIC-283-07-A-,Quel type de laxatif est recommandé en première intention pour la constipation chez l'adulte?,Laxatifs irritants,Laxatifs de lest,Laxatifs lubrifiants,Laxatifs prokinétiques,b
2108,OIC-283-08-B,Quelle complication de la constipation chronique chez l'enfant est souvent associée à des fuites de matières dans les sous-vêtements après 4 ans?,Fissure anale,Prolapsus rectal,Encoprésie,Douleurs abdominales,c
2109,OIC-283-08-B-,Quelle complication de la constipation chronique chez l'enfant est souvent associée à des pleurs à la défécation et des rectorragies?,Fissure anale,Prolapsus rectal,Encoprésie,Douleurs abdominales,a
2110,OIC-283-09-B,Quel est le premier principe de prise en charge de la constipation chronique chez l'enfant?,Traitement médicamenteux immédiat,Mesures hygiéno-diététiques,Vérification de la reconstitution des biberons,Prise en charge psychologique,b
2111,OIC-283-09-B-,Quel médicament est recommandé pour ramollir les selles chez un enfant de plus de 6 mois?,Osmotiques,PEG,Lavements,Antispasmodiques,b
2112,OIC-284-01-A,Quel est le diagnostic principal du syndrome de l'intestin irritable (SII)?,Maladie organique digestive,Troubles du transit en l'absence de maladie organique digestive,Douleurs abdominales avec constipation,Diarrhée chronique,b
2113,OIC-284-01-A-,Combien de sous-types de SII existent-ils?,2,3,4,5,c
2114,OIC-284-02-A,Quels sont les critères diagnostiques du syndrome de l'intestin irritable selon les critères de Rome?,"Douleur abdominale récidivante >1 jour par semaine dans les 3 derniers mois avec 2 critères associés à la défécation, à la modification de la fréquence ou de la consistance des selles","Douleur abdominale récidivante >1 jour par semaine dans les 3 derniers mois avec 1 critère associé à la défécation, à la modification de la fréquence ou de la consistance des selles","Douleur abdominale récidivante >1 jour par semaine dans les 3 derniers mois avec 3 critères associés à la défécation, à la modification de la fréquence ou de la consistance des selles","Douleur abdominale récidivante >1 jour par semaine dans les 3 derniers mois avec 4 critères associés à la défécation, à la modification de la fréquence ou de la consistance des selles",a
2115,OIC-284-03-B-,Le syndrome de l’intestin irritable est le premier motif de consultation en :,Cardiologie,Gastroentérologie,Pneumologie,Néphrologie,b
2116,OIC-284-04-A,Quel est le principal symptôme rapporté dans la colopathie fonctionnelle?,La diarrhée,La constipation,La douleur abdominale chronique,Le ballonnement abdominal,c
2117,OIC-284-05-A,Quel est le premier signe clinique d'alarme qui doit indiquer la réalisation d'une coloscopie?,Survenue des symptômes avant l'âge de 50 ans,Sang dans les selles,Symptômes diurnes,Apparition récente des symptômes,b
2118,OIC-284-05-A-,Quel facteur de risque familial doit conduire à la réalisation d'une coloscopie?,ATCD familial de cancer du sein,ATCD familial de cancer colorectal,ATCD familial de cancer de l'ovaire,ATCD familial de cancer du pancréas,b
2119,OIC-284-06-B,Quelles sont les indications principales de la coloscopie selon le contenu éducatif?,En cas de douleurs abdominales chroniques,En présence de signes cliniques d’alarme,En cas de constipation chronique,En cas de fièvre persistante,b
2120,OIC-284-06-B-,Quelle est la préparation nécessaire avant la réalisation d'une coloscopie?,Préparation colique orale,Préparation colique par lavement,Préparation colique par diète,Aucune préparation nécessaire,a
2121,OIC-284-07-B,Quel examen biologique est recommandé pour éliminer une hyperthyroïdie chez un patient avec un SII à prédominance diarrhéique?,NFS,CRP,TSH,Ac anti-transglutaminase,c
2122,OIC-284-07-B-,Quel examen est conseillé pour éliminer une lambliase chez un patient avec un SII à prédominance diarrhéique?,NFS,CRP,Examen parasitologique des selles,TSH,c
2123,OIC-284-08-A,Quelle est la première étape importante dans la prise en charge d'une colopathie fonctionnelle?,Prescription d'antispasmodiques,Poser le diagnostic,Prescription de laxatifs,Prescription d'antidépresseurs,b
2124,OIC-284-08-A-,Quel type de régime peut être proposé aux patients en seconde intention pour améliorer leur confort digestif?,Régime pauvre en FODMAPs,Régime pauvre en protéines,Régime pauvre en glucides,Régime pauvre en lipides,a
2125,OIC-288-01-A,Quelle est la définition des hémorroïdes selon le contenu éducatif?,Des structures vasculaires anormales de l’anus,Des structures vasculaires anatomiques normales de l’anus,Des structures musculaires de l’anus,Des structures nerveuses de l’anus,b
2126,OIC-288-01-A-,Où siègent les plexus hémorroïdaire interne et externe selon le contenu éducatif?,Dans la partie basse du canal anal,Dans la partie haute du canal anal et péri anal,Dans la partie basse du canal anal et péri anal,Dans la partie haute du canal anal,b
2127,OIC-288-02-B,Quelle est la fréquence de la pathologie hémorroïdaire dans la population française adulte?,Un quart de la population,Un tiers de la population,La moitié de la population,Trois quarts de la population,b
2128,OIC-288-02-B-,Combien de personnes ayant des symptômes hémorroïdaires consultent pour cela?,Un quart,Un tiers,La moitié,Trois quarts,b
2129,OIC-288-04-A,Quelle est la principale différence entre les hémorroïdes internes et externes?,La couleur,La localisation,La taille,La forme,b
2130,OIC-288-04-A-,Quel est le revêtement épithélial du plexus hémorroïdaire interne?,Malpighien,Intestinal,Stratifié,Pseudostratifié,b
