Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
1878,OIC-254-06-A-,Quelle est la principale caractéristique de l'urticaire?,Des plaques rouges et enflées,Des démangeaisons et des plaques oedémateuses,Une perte de cheveux,Une peau sèche et squameuse,b,4
1879,OIC-254-07-A,Quel est le signe respiratoire le plus souvent associé à l'anaphylaxie?,Céphalées,Dyspnée,Convulsions,Tachycardie,b,4
1880,OIC-256-01-A,"En cas de chronicisation de l'urticaire aiguë et/ou de mauvaise réponse, quel est le traitement possible des antihistaminiques H1 de 2ème génération?",Diminuer la dose,Augmenter la dose,Remplacer par des corticostéroïdes,Ne pas modifier le traitement,b,4
1881,OIC-256-01-A-,Quels sont les deux principaux groupes de gènes impliqués dans la dermatite atopique?,Gènes de la barrière épidermique et gènes de la coagulation,Gènes de la barrière épidermique et gènes du système immunitaire,Gènes de la coagulation et gènes du système immunitaire,Gènes de la peau et gènes de l'intestin,b,4
1882,OIC-256-02-B,Où se localisent généralement les lésions de dermatite atopique chez un nourrisson?,Genoux et coudes,Visage et cuir chevelu,Chevilles,Lèvres,b,4
1883,OIC-256-03-B-,,,,,,,1
1884,OIC-256-04-B,Quelle est la caractéristique principale de la phase de sensibilisation de l'eczéma de contact allergique?,Réaction inflammatoire immédiate,Absence de symptômes cliniques,Production de lymphocytes T spécifiques de l'allergène,Infiltration de l'épiderme par des cellules dendritiques,c,4
1885,OIC-256-04-B-,"Dans l'eczéma de contact allergique, où se situent généralement les lésions initiales?",Sur le visage,Sur les paumes et plantes,Sur le site d'application de l'allergène,Sur les paupières,c,4
1886,OIC-256-05-A,Quelle est la principale différence entre l'eczéma aigu et l'eczéma de contact allergique?,L'eczéma aigu est toujours causé par une allergie.,L'eczéma de contact allergique déborde de la zone d'application.,L'eczéma aigu est toujours chronique.,L'eczéma de contact allergique est toujours caractérisé par des vésicules.,b,4
1887,OIC-256-06-A-,Quelle est la recommandation concernant l'utilisation de crèmes ou de pommades en cas d'eczéma de contact?,Utiliser uniquement des crèmes sur les plis.,Utiliser uniquement des pommades sur le reste du corps.,Utiliser des crèmes dans les plis et des pommades sur le reste du corps.,Ne pas utiliser de crèmes ou de pommades.,c,4
1888,OIC-256-07-B,Qu'est-ce que la rhinite allergique (RA)?,Une infection bactérienne des voies nasales.,Une inflammation chronique des voies aériennes supérieures définie par la présence de symptômes PAREO.,Une maladie pulmonaire chronique non allergique.,Une réaction allergique à la nourriture.,b,4
1889,OIC-256-07-B-,Quel facteur de risque est mentionné comme favorisant le développement de l'asthme chez un enfant?,Une alimentation riche en fruits et légumes,Une exposition au tabac dès la conception,Un manque d'activité physique,Un environnement intérieur propre,b,4
1890,OIC-256-08-B,Quel phénotype d'asthme est caractérisé par une inflammation des voies aériennes impliquant les lymphocytes Th2 et les éosinophiles?,Asthme non-Th2,Asthme Th2,Asthme allergique,Asthme à éosinophiles non allergiques,b,4
1891,OIC-256-08-B-,Qu'est-ce qui est recherché lors de l'examen des fosses nasales pour confirmer un diagnostic de rhinite allergique?,Polypes nasaux,Mucite,Inflammation,Exposition à des allergènes,c,4
1892,OIC-256-09-B,Qu'est-ce qui est requis pour établir un diagnostic d'asthme?,Une hyper-réactivité bronchique.,"Un VEMS/CV < 0,7.",Un gain de plus de 200mL et >12% par rapport à la valeur initiale sur le VEMS.,Une nuit profonde.,c,4
1893,OIC-256-09-B-,,,,,,,1
1894,OIC-256-10-B,Quel allergène est associé aux boulangers et pâtissiers?,Persulfates,Isocyanates,Blé,Ammoniums,c,4
1895,OIC-256-10-B-,Quel est le critère pour considérer qu'un asthme est bien contrôlé?,Un nombre élevé d'exacerbations.,Un VEMS/CVF < 0.7.,Un VEMS/CVF > 0.7 et VEMS ≥ 80%.,Un VEMS < 80%.,c,4
1896,OIC-256-11-A,Qu'est-ce qui distingue une exacerbation d'asthme d'une simple aggravation des symptômes?,La présence de fièvre.,L'absence de réponse aux bronchodilatateurs d'action rapide.,Une amélioration spontanée des symptômes.,Une augmentation progressive des symptômes pendant moins de deux jours.,b,4
1897,OIC-256-11-A-,Quel signe est mentionné comme un signe de lutte lors d'une exacerbation d'asthme?,SpO2 < 95% en AA,Parle avec des phrases courtes ou interrompues par l’inspiration,FC > 100/min,Débit Expiratoire de Pointe (DEP) ≤ 50% de la meilleure valeur (ou théorique si inconnue),b,4
1898,OIC-257-01-A,Quel est l'élément clé qui permet de différencier une distension thoracique d'une simple hyperinflation?,La présence de signes de congestion pulmonaire.,L'absence d'aplatissement des coupoles diaphragmatiques.,L'horizontalisation des côtes.,La présence de signes de cyanose.,c,4
1899,OIC-257-02-B,Quel est l'objectif principal des tests de provocation allergique?,Identifier les allergènes spécifiques.,Mesurer les niveaux d'IgE spécifiques.,Évaluer la réponse du système immunitaire à un allergène.,Diagnostiquer la rhinite chronique.,c,4
1900,OIC-257-02-B-,Quel est l'objectif principal de la prévention de l'asthme professionnel?,Réduire l'exposition aux agents irritants,Améliorer la qualité de l'air,Prévenir les allergies,Traiter les symptômes,a,4
1901,OIC-257-03-B,Quel facteur est associé à un risque accru de décès par asthme?,Prise actuelle ou arrêt récent d’une corticothérapie orale,Mauvaise observance thérapeutique : arrêt ou absence de corticostéroïdes inhalés (CSI),Allergie alimentaire,"Hypersensibilité à l'aspirine et aux AINS (Syndrome de Widal associant asthme, polypose naso-sinusienne et intolérance aux AINS et à l’aspirine)",b,4
1902,OIC-257-03-B-,Les rhino-corticoïdes sont utilisés dans la rhinite allergique pour quel objectif principal?,Éviter l'exposition aux allergènes.,Soulager les symptômes allergiques.,Réduire l'inflammation des voies nasales.,Traiter les infections respiratoires.,c,4
1903,OIC-257-04-A,"Dans quel palier du traitement de l'asthme, en cas d'asthme non contrôlé avec les CSI et BDLA, un traitement complémentaire devra être discuté lors d’une consultation spécialisée?",Palier 1,Palier 2,Palier 3,Palier 4,d,4
1904,OIC-257-04-A-,Quelle est l'importance de l'éducation à la manipulation du dispositif d'inhalation?,"Elle est inutile, car les patients savent déjà comment utiliser les inhalateurs.",Elle est importante pour garantir une administration correcte du médicament.,Elle est uniquement nécessaire pour les enfants.,Elle est uniquement nécessaire pour les soignants.,b,4
1905,OIC-257-05-A,Qu'est-ce qui fait partie de la surveillance du traitement de fond de l'asthme?,L'évaluation de la fréquence cardiaque.,L'évaluation de la technique de prise.,L'évaluation de la fonction rénale.,La recherche de la présence de fièvre.,b,4
1906,OIC-257-06-A,Lequel des éléments suivants n'est PAS un objectif de l'éducation thérapeutique de l'asthme?,Mesurer et interpréter son DEP.,Connaître les mécanismes d’action et indications des traitements.,Maîtriser l’utilisation des dispositifs d’inhalation.,Mettre en place le plan d’action.,d,4
1907,OIC-257-06-A-,Quelle est la principale difficulté à éviter en cas de pollen?,L'humidité relative.,Les animaux domestiques.,Les moisissures.,Le pollen lui-même.,d,4
1908,OIC-257-07-A,L'asthme mal contrôlé peut entraîner quoi?,Une meilleure qualité de vie,Un absentéisme scolaire ou professionnel,Une diminution de l'inflammation,Une augmentation de la production d'anticorps,b,4
1909,OIC-257-07-A-,"Quelle est la durée minimale requise pour la fièvre prolongée ""classique"" selon le contenu éducatif?",1 semaine,2 semaines,3 semaines,4 semaines,c,4
1910,OIC-257-08-A-,L'examen gynécologique est principalement indiqué chez les femmes pour rechercher quels signes?,Une augmentation de la taille des testicules.,Un écoulement mamelonnaire ou une anomalie de l'examen clinique mammaire.,Une douleur abdominale persistante.,Une perte de poids inexpliquée.,b,4
1911,OIC-260-01-A,Quelle est une infection plus rare mentionnée dans le texte comme cause de fièvre prolongée?,Paludisme,Tuberculose,Rickettsiose,Hépatites virales,c,4
1912,OIC-260-01-A-,Quelle est une maladie inflammatoire ou auto-immune mentionnée comme cause de fièvre prolongée?,Bronchite,Lupus systémique,Rhume,Grippe,b,4
1913,OIC-260-02-B-,Quel examen microbiologique est recommandé avant toute antibiothérapie chez un patient présentant une fièvre prolongée?,Examen cytobactériologique des urines,Sérologies Epstein Barr virus (EBV),Hémocultures,Sérologie VIH,c,4
1914,OIC-260-03-A,Qu'est-ce qui est considéré comme une urgence thérapeutique dans le contexte d'une neutropénie fébrile?,PNN < 1500/mm3,"PNN < 0,5 G/L",PNN < 500/mm3,"Fièvre > 38,3°C",c,4
1915,OIC-260-03-A-,Quelle infection fongique est associée à une immunodépression sévère (CD4 < 200/mm<sup>3</sup>)?,Aspergillose,Cryptococcose,Pneumocystose,Candidémie,c,4
1916,OIC-260-04-B,Quel est l'objectif principal d'un examen clinique minutieux chez un patient immunodéprimé avec fièvre?,Identifier la cause exacte de la fièvre,Dépister rapidement des signes de gravité,Évaluer la fonction rénale,Mesurer la glycémie,b,4
1917,OIC-260-04-B-,"Dans le contexte d'une immunodéficience, quel type de champignon est le plus souvent associé à une candidose invasive?",Aspergillus,Cryptococcus,Candida,Pneumocystis,c,4
1918,OIC-260-05-B,"Le contenu indique que la peau est une porte d'entrée de fièvre du neutropénique, mais précise-t-il la nature de la peau concernée?",Peau normale,Peau favorisée par les abords veineux,Peau uniquement,Peau uniquement,b,2
1919,OIC-260-05-B-,Quel facteur est pris en compte lors du choix de l'antibiothérapie pour un patient immunodéprimé présentant une fièvre?,La présence de comorbidités.,La profondeur de la neutropénie.,L'âge du patient.,La présence de symptômes neurologiques.,b,4
1920,OIC-260-06-B-,Quel examen est réalisé si la fièvre persiste à 48h d’une antibiothérapie probabiliste?,Examen cytobactériologique des crachats,Coproculture,Scanner thoraco-abdomino-pelvien,Antigénémie aspergillaire,c,4
1921,OIC-260-07-A,Dans quel cas une antibiothérapie orale peut-elle être proposée pour traiter une neutropénie?,"Neutropénie profonde (>0,1 G/L)",Neutropénie > 7 jours,Neutropénie avec signe de gravité,Neutropénie avec antécédent à risque,d,4
1922,OIC-260-07-A-,"Quel vaccin est recommandé pour les patients aspléniques, en particulier après une splénectomie?",Vaccin contre la grippe,Vaccin contre le rotavirus,Vaccin conjugué 13-valents puis vaccin polysaccharidique 23-valents,Vaccin contre le varicelle,c,4
1923,OIC-260-08-A,Quel vaccin est contre-indiqué pour les patients immunodéprimés ayant un CD4 < 0.2 G/L?,Vaccin anti-grippal,Vaccin anti-VHB,Vaccin vivant atténué,Vaccin anti-pneumococcique,c,4
1924,OIC-260-09-A,À quel âge les symptômes des spondyloarthrites débutent-ils généralement?,Après 45 ans,Avant 45 ans,Entre 45 et 55 ans,Après 60 ans,b,4
1925,OIC-260-09-A-,Quelle est la prévalence du gène HLA-B27 dans les populations caucasiennes?,Moins de 1 %,Entre 6 et 8 %,Plus de 90 %,100 %,b,4
1926,OIC-260-10-A,Quelle est la lésion élémentaire des spondyloarthrites?,L'atteinte synoviale.,L'enthésite.,La polyarthrite rhumatoïde.,L'atteinte osseuse.,b,4
1927,OIC-260-10-A-,,,,,,,1
1928,OIC-260-11-A-,Quels sont les critères cliniques qui doivent être présents pour classer un patient comme ayant une spondyloarthrite axiale selon les critères ASAS 2009?,Rachialgie depuis plus de 3 mois et âge de début inférieur à 45 ans,Douleur articulaire et inflammation,Rachialgie depuis plus de 3 mois et âge de début supérieur à 45 ans,Douleur articulaire et inflammation,a,3
1929,OIC-260-12-A,Quel est le syndrome de Fiessinger-Leroy-Reiter?,Une forme complète d'arthrite réactionnelle,Une infection génitale,Une atteinte du rachis,Une maladie inflammatoire chronique,a,4
1930,OIC-260-12-A-,Où se trouve généralement une dactylite?,Dans les articulations,Sur les doigts,Dans la peau,Dans les muscles,b,4
1931,OIC-260-13-B,Où se trouvent les syndesmophytes?,Dans les articulations,Entre deux vertèbres,Dans les muscles,Dans les tendons,b,4
1932,OIC-260-13-B-,"Sur une radiographie du bassin, quelle est la première chose à rechercher?",Une coxite,Une ostéophytose,Une sacroiliite,Un pincement du pied d'une sacroiliaque,c,4
1933,OIC-261-01-A,Dans quelle situation l'IRM des sacro-iliaques est-elle utile?,En cas de radiographie normale,En cas de radiographie normale,En cas de radiographie normale,En cas de radiographie normale,a,1
1934,OIC-261-01-A-,Quel est l'objectif principal de la kinésithérapie dans le traitement de la spondyloarthrite?,Réduire la douleur,Améliorer la force musculaire,Prévenir l'ankylose et maintenir la fonction,Diminuer l'inflammation,c,4
1935,OIC-261-02-A,,,,,,,1
1936,OIC-261-02-A-,Quel type de cristaux de calcium est impliqué dans les tendinopathies calcifiantes?,Pyrophosphate de calcium,Phosphate de calcium,Apatite,Urate de sodium,c,4
1937,OIC-261-03-B,Quelle est la valeur seuil de l’hyperuricémie?,200 µmol/l,360 µmol/l,60 mg/l,400 µmol/l,b,4
1938,OIC-261-03-B-,Quel est le principal facteur de risque cardiovasculaire associé à la goutte?,Une alimentation riche en fruits et légumes,Une faible consommation de cholestérol,L'obésité et le syndrome métabolique,Une activité physique régulière,c,4
1939,OIC-261-04-A,L'arthropathie microcristalline est principalement causée par quoi?,L'inflammation chronique,La dégradation du cartilage,La précipitation de cristaux de pyrophosphate de calcium,L'infection,c,4
1940,OIC-261-04-A-,Qu'est-ce que la calcification méniscale indique sur la radiographie du genou?,Une inflammation de la synoviale,Une usure du cartilage,Une dégradation du ménisque,Une infection osseuse,c,4
1941,OIC-261-05-B,L'arthropathie microcristalline est caractérisée par des calcifications dans quelles structures?,Les articulations synoviales,Les tissus conjonctifs,Les cartilages,Les os,c,4
1942,OIC-261-06-B,Quelle est la caractéristique la plus distinctive d'un accès aigu microcristallin?,Douleur progressive sur plusieurs jours.,Résolution spontanée en quelques jours à quelques semaines.,Douleur légère et indolore.,Douleur intense et persistante.,b,4
1943,OIC-261-06-B-,Quel facteur de risque est mentionné comme une comorbidité associée à la goutte?,L'âge,Le sexe féminin,Les maladies cardiovasculaires,Les habitudes alimentaires,c,4
1944,OIC-261-07-B,Dans quel contexte un avis spécialisé est-il recommandé pour le diagnostic de goutte?,Goutte légère et bien contrôlée.,Goutte avec une uricémie normale.,Goutte précoce ou polyarticulaire.,Goutte sans antécédents familiaux.,c,4
1945,OIC-261-07-B-,Quels signes peuvent indiquer une infection articulaire?,Une diminution de la fièvre,Une diminution de la CRP,Une élévation de la CRP,Une diminution de la VS,c,3
1946,OIC-261-08-A,Quelle est la caractéristique d'une oligoarthrite goutteuse?,Inflammation de plusieurs articulations,Inflammation de quelques articulations,Inflammation d'une seule articulation,Absence d'inflammation,b,4
1947,OIC-261-09-B,Où est typiquement localisé un tophus?,Dans les muscles.,Dans les tendons.,Dans les articulations.,Dans les os.,c,4
1948,OIC-261-10-B-,Quel est le site d'atteinte le plus fréquent des crises périarticulaires liées aux dépôts apatitiques?,Le genou,Le poignet,L'épaule,Le pied,c,4
1949,OIC-261-11-B,Quel facteur est pris en compte pour choisir le traitement de la crise de goutte?,Le nombre d'articulations touchées.,Le type d'articulations touchées.,"Les comorbidités, les antécédents d'intolérance médicamenteuse et les interactions médicamenteuses potentielles.",La durée de la crise.,c,4
1950,OIC-261-11-B-,Quel est l'effet uricosurique du lait écrémé?,Augmente l'uricémie,Diminue l'uricémie,N'a aucun effet,Augmente le risque de crise de goutte,b,4
1951,OIC-261-12-B,Où sont souvent localisés les tophi?,Seuls autour des articulations atteintes,Uniquement dans les articulations des membres inférieurs,Autour des articulations atteintes et dans des sites électifs,Uniquement dans les articulations des membres supérieurs,c,4
1952,OIC-261-12-B-,Quelle est la principale cause de l'hémochromatose?,Une consommation excessive de fer,Une insuffisance rénale chronique,Une infection bactérienne,Une carence en vitamine C,a,4
1953,OIC-261-13-B,Quelle est une solution simple pour traiter une monoarthrite due à des cristaux de PPC?,Une infiltration intra-articulaire de dérivé cortisonique.,Une administration intraveineuse de corticostéroïdes.,Une prise orale de colchicine.,Une radiothérapie de la zone affectée.,a,4
1954,OIC-261-14-A,Quelle est la catégorie de donneurs qui représente la majorité des donneurs?,Les donneurs décédés après arrêt circulatoire (DDAC) ayant présenté un arrêt cardiaque extra-hospitalier dit « non-contrôlé ».,Les donneurs décédés après arrêt circulatoire (DDAC) ayant présenté un arrêt circulatoire survenant en réanimation dans les suites d’une décision d’arrêt des thérapeutiques actives.,Les donneurs en état de mort encéphalique.,Les donneurs vivants.,c,4
1955,OIC-261-14-A-,Quels types de greffes peuvent concerner des cellules et des tissus?,Seulement des organes.,Seulement des tissus.,Des cellules et des tissus.,Seulement des cellules.,c,4
1956,OIC-261-15-A,Qu'est-ce que le test du cross-match?,Un test pour vérifier la compatibilité du groupe sanguin,Un test pour identifier les anticorps anti-HLA chez le receveur,Un test pour identifier la présence d’anticorps cytotoxiques dirigés contre les antigènes du donneur,Un test pour vérifier la compatibilité du groupe rhésus,c,4
1957,OIC-261-15-A-,"Selon le tableau, quel est le taux de survie à 10 ans pour les reins transplantés?","86,6%","73,6%","59,2%",NO,a,3
1958,OIC-261-16-B,Quel principe éthique est lié au consentement du donneur?,Gratuité,Anonymat,Consentement,Obligation,c,4
1959,OIC-261-17-B,Quels sont les critères paracliniques pour le diagnostic de mort encéphalique?,2 électro-encéphalogrammes nuls et aréactifs pendant 30 minutes réalisés à 4 heures d’intervalle.,Angiographie cérébrale objectivant la circulation encéphalique.,Présence de conscience et d’activité motrice spontanée.,"Absence de conscience et d’activité motrice spontanée, abolition de tous les réflexes du tronc cérébral.",a,4
1960,OIC-261-17-B-,Quel est le mécanisme d'action principal de la ciclosporine et du tacrolimus?,Déplétion des lymphocytes T circulants.,Inhibition de la calcineurine.,Inhibition de la prolifération lymphocytaire.,Inhibition de l'activation lymphocytaire.,b,4
1961,OIC-261-18-B-,"Selon la loi de bioéthique de 1994, quel est le statut des défunts en état de mort encéphalique?",Ils sont considérés comme donneurs par défaut.,Leur statut est déterminé par leur famille.,Leur statut est déterminé par l'Agence de la Biomédecine.,Leur statut est déterminé par un comité d'éthique.,a,4
1962,OIC-263-01-A,Quel est le rôle du comité donneurs vivants?,Il vérifie que le consentement est libre et éclairé.,Il autorise ou non le prélèvement et s'assure que le donneur vivant est libre de sa décision.,Il s'assure que le don est conforme aux conditions fixées par la loi.,Il vérifie que le donneur potentiel est exempt de pathologies.,b,4
1963,OIC-263-01-A-,,,,,,,1
1964,OIC-263-02-A,Quelle est la conséquence la plus probable d'une fracture costale déplacée?,Une amélioration de la respiration,Une hémorragie interne,Un pneumothorax,Une consolidation pulmonaire,c,4
1965,OIC-263-02-A-,Quelle est la différence principale entre un épanchement pleural liquidien et un hémothorax sur un scanner?,"Un épanchement pleural liquidien est toujours infecté, tandis qu'un hémothorax n'est jamais infecté.","Un épanchement pleural liquidien est un liquide purulent, tandis qu'un hémothorax est du sang.","Un épanchement pleural liquidien est une collection de liquide autour du poumon, tandis qu'un hémothorax est une collection de sang autour du poumon.","Un épanchement pleural liquidien est détecté par une injection de contraste, tandis qu'un hémothorax n'est pas.",c,4
1966,OIC-263-03-B,Quel signe est caractéristique d'un pneumothorax sous-tension?,Hyperclarté pulmonaire apico-latérale,Déplacement médiastinal vers le côté opposé,Expansion de l’hémithorax homolatéral,Rétraction pulmonaire totale,b,4
1967,OIC-263-03-B-,Quel est le signe de la silhouette qui peut faciliter la localisation d'une opacité alvéolaire?,La taille de l'opacité,La forme de l'opacité,La présence d'un bronchogramme aérique,Le rapport de l'opacité avec le médiastin,d,4
1968,OIC-263-04-B,Quelle est la caractéristique la plus courante des opacités pulmonaires observées sur radiographie chez un patient atteint d'un syndrome interstitiel?,Des nodules bien définis,Des opacités bilatérales et diffuses,Des infiltrats localisés,Une absence totale de radiodensité,b,4
1969,OIC-263-04-B-,Quelle est la définition d'une cardiomégalie selon la radiographie de thorax en position debout?,"Un index cardio-thoracique inférieur à 0,5.","Un index cardio-thoracique supérieur à 0,5.","Un index cardio-thoracique égal à 0,5.",Un index cardio-thoracique variable selon l'âge du patient.,b,4
1970,OIC-263-05-B,Quel examen est indiqué pour préciser le siège de l’obstruction et sa nature dans une atélectasie?,L’échographie abdominale,La radiographie de profil,La TDM thoracique,L’IRM cérébrale,c,4
1971,OIC-263-05-B-,Quel est le principal avantage de l'utilisation du scanner thoracique en mode basse dose?,Réduction du temps d'acquisition d'images,Réduction de l'exposition aux radiations,Amélioration de la qualité des images,Augmentation du nombre de patients pouvant être examinés,b,4
1972,OIC-263-06-A-,Quel examen est privilégié chez le nourrisson et le jeune enfant en cas de doute à la radiographie thoracique?,Scanner thoracique,IRM thoracique,Échographie,Mammographie,c,4
1973,OIC-263-07-B,Quelle est la cause la plus fréquente de masse médiastinale moyenne chez l'enfant?,Tumeurs vasculaires,Duplication œsophagienne,Adénopathies,Kystes bronchogéniques,c,4
1974,OIC-263-08-B-,Dans quelle situation un cathétérisme cardiaque droit est-il rarement indiqué pour confirmer l'HTP?,En cas d'HTP secondaire à une insuffisance cardiaque (IC),En cas d'HTP secondaire à une insuffisance rénale chronique (IRC),En cas d'HTP primaire,En cas d'HTP secondaire à une maladie pulmonaire,b,4
1975,OIC-263-09-A,Quel est un signe d'insuffisance cardiaque droite compliquant l'HTP?,Souffle holosystolique d'insuffisance tricuspide se majorant à l’inspiration profonde,Éclat de B2 au foyer pulmonaire,Reflux hépato-jugulaire,Dyspnée d'effort,c,4
1976,OIC-263-09-A-,Quelle exploration est la plus susceptible de révéler une pathologie de la pompe ventilatoire?,Spirométrie,Pléthysmographie,Gaz du sang,Test de la force respiratoire,d,4
1977,OIC-263-10-B,"Dans le cadre d'une IRC, quel type d'exploration fonctionnelle est le plus susceptible de révéler une restriction?",Test de la fonction pulmonaire obstructive.,Test de la fonction pulmonaire restrictive.,Test de la fonction pulmonaire mixte.,Test de la fonction pulmonaire normale.,b,4
1978,OIC-263-10-B-,Qu'est-ce qui permet de préciser la gravité d'une décompensation d'IRC?,L'auscultation pulmonaire,Les gaz du sang,Le score de l'échelle de l'ESS,L'examen neurologique,b,4
1979,OIC-265-01-A,Quel examen clinique peut aider à évaluer la pression artérielle pulmonaire systolique dans le contexte de l'insuffisance respiratoire chronique?,Échographie cardiaque,Radiographie pulmonaire,Bilan sanguin,Electrocardiogramme,a,4
1980,OIC-265-01-A-,Quelle est la cause la plus fréquente d'IRC liée à la pompe ventilatoire?,Atteinte de la commande ventilatoire,Maladies neuromusculaires,Diminution de la compliance thoracique,Atteinte de la diffusion alvéolo-capillaire,b,4
1981,OIC-265-02-B,Quelle est la principale cause d'hypercapnie dans la BPCO?,Hypoxémie,Maladies de l'échangeur pulmonaire,Hypoventilation alvéolaire,Maladies de la pompe ventilatoire,c,4
1982,OIC-265-03-B,,,,,,,1
1983,OIC-265-03-B-,Quelle est la principale raison pour laquelle l'oxygénothérapie est généralement administrée à un patient hypercapnique?,Pour augmenter la PaCO2.,Pour améliorer la ventilation.,Pour augmenter la saturation en oxygène.,Pour réduire la fréquence respiratoire.,c,4
1984,OIC-265-04-B,Quand une TDM thoracique est-elle généralement indiquée dans le contexte d'une insuffisance respiratoire chronique?,Lors du diagnostic initial,En cas de suspicion de pneumopathie interstillaire diffuse (PID),Pour évaluer la fonction cardiaque,Pour mesurer la capacité pulmonaire,b,4
1985,OIC-265-04-B-,Quelle est la cause principale d'un purpura?,L'inflammation des vaisseaux sanguins.,L'augmentation de la production de globules rouges.,L'extravasation de sang dans le derme.,La diminution de la pression artérielle.,c,4
1986,OIC-265-05-A,Dans quel contexte le purpura thrombopénique est-il le plus souvent observé?,Avec inflammation de la paroi vasculaire,Avec fragilité de la paroi vasculaire,Sans infiltration,Avec atteinte muqueuse,c,4
1987,OIC-265-06-A,Quel est le principal danger d'un purpura fulminans?,L'hypotension artérielle,Le coma,La défaillance hémodynamique,Le syndrome méningé,c,4
1988,OIC-265-07-A,Quel examen biologique est prescrit en cas de fièvre et/ou de souffle cardiaque nouveau?,Protéinurie,Protéine C réactive (CRP),Hémoculture,Ionogramme sanguin,c,4
1989,OIC-265-07-A-,Quel examen biologique peut être obtenu en moins de 24 heures pour un purpura vasculaire?,Dosage de l'albumine,Analyse de la coagulation,Anticorps anti-cytoplasme des polynucléaires neutrophiles (ANCA),Dosage de la créatinine,c,4
1990,OIC-265-08-A,Quelle est une cause de purpura thrombopénique?,Vascularite des vaisseaux de moyen calibre,Défaut de production des plaquettes dans la moelle osseuse,Dysfonction plaquettaire (thrombopathie) sans thrombopénie,Purpura sénile de Bateman,b,4
1991,OIC-265-08-A-,Dans quel cas une transfusion de plaquettes peut-elle être prescrite?,En cas d'hémorragie et/ou de thrombopénie profonde,En cas de thrombopénie centrale,En cas de purpura superficiel,En cas de thrombopénie profonde,a,4
1992,OIC-265-09-B-,Qu'est-ce qui est typiquement absent dans le frottis sanguin d'un patient atteint du syndrome mononucléosique?,Cellules mononucléées activées,Cellules blastiques,Lymphocytes T activés,Autres lignées hématopoïétiques normales,b,4
1993,OIC-265-11-A,Quel est le principal signe clinique associé à une primo-infection à CMV?,Splénomégalie,Hyperthermie/fièvre,Douleurs articulaires,Polyadénopathie,b,4
1994,OIC-265-11-A-,Quel est le principal facteur de risque pour le syndrome DRESS?,Infection bactérienne,Prise de médicaments,Maladie auto-immune,Changement de saison,b,4
1995,OIC-265-12-B,Dans quels cas les équations SCORE2 et SCORE2-OP ne sont-elles pas valides?,En cas de diabète de type 1,En cas d'insuffisance rénale chronique,En cas de maladie cardiovasculaire avérée,En cas d'hypercholestérolémie familiale,c,4
1996,OIC-265-13-B,Le texte indique que le lien entre hypertriglycéridémie et athérosclérose est :,Fort et bien prouvé,"Probable, surtout en cas d'association avec un HDL-cholestérol bas",Indifférent,Absent,b,4
1997,OIC-265-14-A-,Dans quels cas les xanthomes tendineux sont-ils plus fréquemment observés?,Hypertriglycéridémies légères,Hypercholestérolémies familiales,Hypercholestérolémies non familiales,Hypertriglycéridémies sévères,b,4
1998,OIC-267-01-A,Quel médicament peut causer une hyperlipidémie secondaire?,Paracétamol,Amoxicilline,Corticoïdes,Oméprazole,c,4
1999,OIC-267-03-A-,L'AOMI est une maladie systémique dont le pronostic est influencé par les complications?,Pulmonaires,Renaux,Cardiaques,Hépatiques,c,4
2000,OIC-267-04-A-,Quelles sont les mesures qui permettent de confirmer l'origine artérielle de la claudication?,L'angioscanner de l'aorte et des artères des artères des membres inférieurs,L'angio-IRM de l'aorte et des artères des artères des membres inférieurs,L'épreuve de marche sur tapis roulant avec mesure des pressions de cheville (test de Strandness),L'artériographie des membres inférieurs,c,4
2001,OIC-267-05-A,"Dans le cas de claudication persistante invalidante malgré une prise en charge médicale optimale, quelle est une option thérapeutique possible?",Un traitement médical complémentaire visant à lutter contre les facteurs aggravants,Une revascularisation chirurgicale,Une amputation d'emblée,Un traitement médical complémentaire visant à lutter contre les facteurs aggravants et une revascularisation chirurgicale,b,4
2002,OIC-267-05-A-,Quel est le pronostic global en cas de survenue d'une ischémie aiguë d'un membre inférieur?,Très favorable,Globalement positif,Sombre,Stable,c,4
2003,OIC-267-06-B,Qu'est-ce qui est le principal objectif de la revascularisation dans le cas d'ischémie aiguë complète?,Réduire le temps de souffrance ischémique des tissus,"Éviter les séquelles neurologiques, musculaires ou cutanées",Améliorer la circulation sanguine vers les extrémités,Diminuer la douleur ressentie par le patient,a,4
2004,OIC-267-06-B-,Quel est le principal territoire artériel à rechercher en cas d'embolie?,L'artère fémorale.,L'artère mésentérique.,L'artère iliaque.,L'artère poplitée.,b,4
2005,OIC-267-07-A,Quelle est la méthode chirurgicale de référence en cas d'embolie sur artère saine?,Pontage,Thrombolyse in situ,Embolectomie à la sonde de Fogarty,Endartériectomie,c,4
2006,OIC-267-08-B,Quel est le principal objectif du dépistage des AAA?,Identifier les patients présentant des symptômes,Identifier les patients à risque,Traiter les patients atteints d'anévrisme,Évaluer la fonction rénale,b,4
2007,OIC-267-08-B-,Quel est le principal signe clinique d'une rupture d'AAA?,Douleur abdominale,Choc hémorragique,Lombalgie,Cruralgie,b,4
2008,OIC-267-09-B,,,,,,,1
